Country,Movie,Rating,Genre
United Arab Emirates,Samsara,8.1,Documentary
Albania,Dangerous,6.2,"Action, Thriller"
Netherlands Antilles,Ex Drummer,6.8,"Comedy, Crime, Drama, Thriller"
Angola,Samsara,8.1,Documentary
Argentina,Baraka,8.2,Documentary
American Samoa,WHAT DID JACK DO?,6.4,"Comedy, Crime, Mystery"
Austria,The Dawn Wall,8,"Documentary, Adventure"
Australia,Taylor Swift: The 1989 World Tour - Live,8.6,"Music, Documentary"
Aruba,Derailed,5,"Action, Thriller"
Bosnia and Herzegovina,"Quo Vadis, Aida?",7.6,"War, Drama, History"
Bangladesh,The Music Room,7.5,"Drama, Music"
Belgium,Ennio,8.3,"Documentary, Music"
Bulgaria,The Wild Pear Tree,7.5,Drama
Bolivia,Samsara,7.4,"Adventure, Drama, Romance"
Brazil,City of God,8.4,"Drama, Crime"
Bahamas,Casino Royale,7.5,"Adventure, Action, Thriller"
Bhutan,Lunana: A Yak in the Classroom,7.4,Drama
Belarus,Persian Lessons,7.7,"War, Drama"
Canada,Mommy,8.2,Drama
Switzerland,Satantango,8.2,Drama
Chile,The Mole Agent,7.9,Documentary
China,The Legend of Hei,8.4,"Animation, Fantasy, Action"
Colombia,The Rose Seller,7.7,"Drama, Crime"
Serbia and Montenegro,Life Is a Miracle,7.3,"Romance, Drama, Comedy"
Cuba,I Am Cuba,7.9,Drama
Czech Republic,Casino Royale,7.5,"Adventure, Action, Thriller"
Germany,Ennio,8.3,"Documentary, Music"
Denmark,The Hunt,8.1,Drama
Dominica,In the Arms of an Assassin,8,"Romance, Thriller"
Algeria,Z,7.9,"Thriller, Crime, Drama"
Ecuador,Dedicated to my ex,8.3,"Drama, Comedy"
Estonia,Tangerines,7.7,"Drama, War"
Egypt,Baraka,8.2,Documentary
Eritrea,The Gentlemen,7.7,"Comedy, Crime"
Spain,Franco Escamilla: bienvenido al mundo,8.6,Comedy
Finland,La Vie de Bohème,7.6,"Drama, Comedy, Romance"
France,Human,8.5,Documentary
United Kingdom,Queen: Live at Wembley Stadium,8.5,Music
Georgia,And Then We Danced,7.4,"Drama, Romance"
Greece,Landscape in the Mist,7.6,Drama
Guatemala,La Llorona,6.5,"Thriller, Horror, Drama"
