Item,Calories,Total Fat,Carbohydrates (G),Protein,Establishment
Whopper® Sandwich,660,40,49,28,Burger_King
Whopper® Sandwich with Cheese,740,46,50,32,Burger_King
Bacon & Cheese Whopper® Sandwich,790,51,50,35,Burger_King
Double Whopper® Sandwich,900,58,49,48,Burger_King
Double Whopper® Sandwich with Cheese,980,64,50,52,Burger_King
Triple Whopper® Sandwich,1130,75,49,67,Burger_King
Triple Whopper® Sandwich with Cheese,1220,82,50,71,Burger_King
Whopper JR.® Sandwich,310,18,27,13,Burger_King
Bacon King Sandwich,1150,79,49,61,Burger_King
Cheddar Bacon King Sandwich,1190,84,50,64,Burger_King
Single Quarter Pound King Sandwich,580,29,49,32,Burger_King
Double Quarter Pound King Sandwich,900,54,50,56,Burger_King
Single Stacker King,700,42,48,35,Burger_King
Double Stacker King,1050,68,49,61,Burger_King
IMPOSSIBLE Whopper® Sandwich,630,34,58,25,Burger_King
Hamburger,240,10,26,13,Burger_King
Cheeseburger,280,13,27,15,Burger_King
Double Hamburger,350,18,26,21,Burger_King
Double Cheeseburger,390,21,27,23,Burger_King
Extra Long Cheeseburger,630,37,45,29,Burger_King
Bacon Cheeseburger,320,16,27,17,Burger_King
Bacon Double Cheeseburger,420,24,27,25,Burger_King
Crispy Chicken Sandwich,670,41,54,23,Burger_King
Spicy Crispy Chicken Sandwich,700,42,57,25,Burger_King
Original Chicken Sandwich,660,40,48,28,Burger_King
Bacon & Cheese Crispy Chicken Sandwich,800,52,55,30,Burger_King
BBQ Bacon Crispy Chicken Sandwich,790,49,60,28,Burger_King
Crispy Chicken Jr.,450,30,34,12,Burger_King
Spicy Crispy Chicken Jr.,390,21,37,12,Burger_King
Chicken Nuggets- 4pc,170,11,11,8,Burger_King
Chicken Nuggets- 6pc,260,16,16,12,Burger_King
Chicken Nuggets- 10pc,430,27,27,20,Burger_King
Chicken Nuggets- 20pc,860,54,53,39,Burger_King
Spicy Chicken Nuggets- 4pc,210,15,11,8,Burger_King
Spicy Chicken Nuggets- 6pc,320,22,17,12,Burger_King
Spicy Chicken Nuggets- 10 pc,530,37,28,20,Burger_King
Spicy Chicken Nuggets- 20 pc,1050,74,56,40,Burger_King
Chicken Fries – 9 pc.,280,17,20,13,Burger_King
Crispy Taco,170,9,19,5,Burger_King
BIG FISH Sandwich,510,28,51,16,Burger_King
Chicken Nuggets- 4pc,170,11,11,8,Burger_King
Chicken Nuggets- 6pc,260,16,16,12,Burger_King
Hamburger,240,10,26,13,Burger_King
Cheeseburger,280,13,27,15,Burger_King
CROISSAN’WICH® Egg & Cheese,340,18,29,12,Burger_King
"CROISSAN’WICH® Sausage, Egg & Cheese",500,33,30,19,Burger_King
"CROISSAN’WICH® Ham, Egg & Cheese",370,19,30,17,Burger_King
"CROISSAN’WICH® Bacon, Egg & Cheese",370,21,30,14,Burger_King
Fully Loaded CROISSAN’WICH®,610,40,31,28,Burger_King
Double CROISSAN’WICH® with Sausage & Bacon,580,40,31,23,Burger_King
Double CROISSAN’WICH® with Sausage,710,52,31,29,Burger_King
Double CROISSAN’WICH® with Ham & Sausage,580,38,31,27,Burger_King
Fully Loaded Biscuit,640,45,31,28,Burger_King
"Ham, Egg, & Cheese Biscuit",400,24,29,17,Burger_King
"Sausage, Egg, & Cheese Biscuit",530,38,29,19,Burger_King
"Bacon, Egg & Cheese Biscuit",400,26,29,13,Burger_King
Sausage Biscuit,420,28,28,12,Burger_King
Breakfast Burrito Jr.,370,23,27,15,Burger_King
EGG-NORMOUS BURRITOΡ,780,42,68,32,Burger_King
BK™ Ultimate Breakfast Platter,930,44,110,24,Burger_King
NY Ultimate Platter (Regional menu item),900,46,95,25,Burger_King
Pancake and Sausage platter,610,31,72,12,Burger_King
Hash Browns – small,250,16,24,2,Burger_King
Hash Browns – medium,500,33,48,4,Burger_King
Hash Browns – large,670,44,65,5,Burger_King
French Toast Sticks (3 piece),230,11,29,3,Burger_King
French Toast Sticks (5 piece),380,18,49,5,Burger_King
American Cheese (slice),40,3.5,1,2,Burger_King
Ketchup (Packet),10,0,3,0,Burger_King
Mayonnaise (Packet),80,9,1,0,Burger_King
Strawberry or Grape Jam (packet),30,0,7,0,Burger_King
Breakfast Syrup (1 oz),120,0,30,0,Burger_King
Barbecue Dipping Sauce (1 oz),40,0,11,0,Burger_King
Ranch Dipping Sauce (1 oz),140,15,1,1,Burger_King
Buffalo Dipping Sauce (1 oz),80,8,2,0,Burger_King
Zesty Onion Ring Dipping Sauce (1 oz),150,15,3,0,Burger_King
Honey Mustard Dipping Sauce (1oz),90,6,8,0,Burger_King
