Item,Calories,Total Fat,Carbohydrates (G),Protein,Establishment
1/2 lb. FlameThrower® GrillBurger,1000,74,40,46,Dairy_Queen
1/2 lb. GrillBurger with Cheese,800,51,44,40,Dairy_Queen
1/4 lb. Bacon Cheese GrillBurger,630,37,44,30,Dairy_Queen
1/4 lb. GrillBurger with Cheese,540,30,44,23,Dairy_Queen
1/4 lb. Mushroom Swiss GrillBurger,570,35,39,24,Dairy_Queen
Original Cheeseburger,400,18,34,19,Dairy_Queen
Original Double Cheeseburger,630,34,34,34,Dairy_Queen
4 Piece Chicken Strip Basket w/ Country Gravy,1030,53,105,35,Dairy_Queen
6 Piece Chicken Strip Basket w/ Country Gravy,1260,66,121,49,Dairy_Queen
Bacon Cheese Dog,420,26,26,19,Dairy_Queen
Cheese Dog,390,24,26,16,Dairy_Queen
Chili Cheese Dog,380,24,23,16,Dairy_Queen
Chili Dog,330,20,24,13,Dairy_Queen
Hot Dog,290,17,22,11,Dairy_Queen
Relish Dog,350,20,30,13,Dairy_Queen
Barbecue Pork Sandwich,310,9,41,17,Dairy_Queen
Breaded Mushrooms,250,9,36,7,Dairy_Queen
Regular Cheese Curds,550,45,0,35,Dairy_Queen
Large Cheese Curds,1050,75,52,43,Dairy_Queen
Chili Cheese Mega Dog,760,49,48,32,Dairy_Queen
Corn Dog,260,15,26,6,Dairy_Queen
Crispy Fish Sandwich,470,22,53,17,Dairy_Queen
Deluxe Cheeseburger,400,18,35,20,Dairy_Queen
Deluxe Double Cheeseburger,640,34,35,34,Dairy_Queen
Deluxe Double Hamburger,540,26,34,29,Dairy_Queen
Deluxe Hamburger,350,14,34,17,Dairy_Queen
DQ Ultimate® Burger,780,48,34,41,Dairy_Queen
Pork Tenderloin Sandwich,580,34,48,19,Dairy_Queen
Steak Finger Basket,910,48,95,23,Dairy_Queen
3 chicken strips Chicken Strips,350,20,22,22,Dairy_Queen
Chicken Bacon Ranch Sandwich,500,20,45,33,Dairy_Queen
Chicken Mozzarella Sandwich,640,25,68,34,Dairy_Queen
Crispy Chicken BLT Salad,520,31,25,37,Dairy_Queen
Crispy Chicken Garden Greens Salad,280,13,24,17,Dairy_Queen
Crispy Chicken Sandwich,600,30,59,24,Dairy_Queen
Crispy Chicken Wrap,350,21,30,12,Dairy_Queen
Grilled Chicken BLT Salad,380,19,11,42,Dairy_Queen
Grilled Chicken Garden Greens Salad,150,2,10,23,Dairy_Queen
Grilled Chicken Sandwich,360,15,32,25,Dairy_Queen
Grilled Chicken Wrap,280,15,22,15,Dairy_Queen
Side Salad,20,0,5,1,Dairy_Queen
Turkey BLT Sandwich,550,26,45,30,Dairy_Queen
