Item,Calories,Total Fat,Carbohydrates (G),Protein,Establishment
"6"" B.L.T.",320,9,43,15,Subway
Footlong B.L.T.,640,18,86,30,Subway
"6"" BBQ Rib Sandwich",430,18,47,19,Subway
Footlong BBQ Rib Sandwich,860,36,94,38,Subway
"6"" Big Hot Pastrami",580,31,47,29,Subway
Footlong Big Hot Pastrami,1160,62,94,58,Subway
"6"" Big Philly Cheesesteak",500,17,51,38,Subway
Footlong Big Philly Cheesesteak,1000,34,102,76,Subway
Kids Mini Sub Black Forest Ham,180,3,30,10,Subway
"6"" Black Forest Ham",290,5,46,18,Subway
Footlong Black Forest Ham,580,10,92,36,Subway
"6"" Carved Turkey",330,5,45,25,Subway
Footlong Carved Turkey,660,10,90,50,Subway
"6"" Carved Turkey & Bacon w/ Cheese",570,26,46,33,Subway
Footlong Carved Turkey & Bacon w/ Cheese,1140,52,92,66,Subway
"6"" Chicken & Bacon Ranch Melt",570,28,47,35,Subway
Footlong Chicken & Bacon Ranch Melt,1140,56,94,70,Subway
"6"" Chicken Pizziola Melt",460,16,49,32,Subway
Footlong Chicken Pizziola Melt,920,32,98,64,Subway
"6"" Cold Cut Combo",370,13,46,18,Subway
Footlong Cold Cut Combo,740,26,92,36,Subway
"6"" Corned Beef Reuben",470,15,45,39,Subway
Footlong Corned Beef Reuben,940,30,90,78,Subway
"6"" Italian B.M.T.",410,16,46,20,Subway
Footlong Italian B.M.T.,820,32,92,40,Subway
"6"" Italian Hero",550,29,47,26,Subway
Footlong Italian Hero,1100,58,94,52,Subway
"6"" Meatball Marinara",480,18,59,21,Subway
Footlong Meatball Marinara,960,36,118,42,Subway
"6"" Oven Roasted Chicken",320,5,47,23,Subway
Footlong Oven Roasted Chicken,640,10,44,46,Subway
Kids Mini Sub Roast Beef,200,3,30,14,Subway
"6"" Roast Beef",320,5,45,24,Subway
Footlong Roast Beef,640,10,90,48,Subway
"6"" Rotisserie Style Chicken",350,6,44,29,Subway
Footlong Rotisserie Style Chicken,700,12,88,58,Subway
"6"" Spicy Italian",480,24,46,20,Subway
Footlong Spicy Italian,960,48,92,40,Subway
"6"" Steak and Cheese",380,10,48,26,Subway
Footlong Steak and Cheese,760,20,96,52,Subway
"6"" Subway Club",310,5,46,23,Subway
Footlong Subway Club,620,10,92,46,Subway
"6"" Subway Melt (includes cheese)",370,11,47,23,Subway
Footlong Subway Melt (includes cheese),740,22,94,46,Subway
"6"" Subway Seafood Sensation",420,19,51,13,Subway
Footlong Subway Seafood Sensation,840,38,102,26,Subway
"6"" Sweet Onion Chicken Teriyaki",380,5,59,26,Subway
Footlong Sweet Onion Chicken Teriyaki,760,10,118,52,Subway
"6"" Tuna",470,24,44,20,Subway
Footlong Tuna,940,48,88,40,Subway
"6"" Turkey & Bacon Avocado",390,13,49,22,Subway
Footlong Turkey & Bacon Avocado,780,26,98,44,Subway
Kids Mini Sub Turkey Breast,180,2,30,10,Subway
"6"" Turkey Breast",280,4,46,18,Subway
Footlong Turkey Breast,560,8,92,36,Subway
"6"" Turkey Breast & Ham",280,4,46,18,Subway
Footlong Turkey Breast & Ham,560,8,92,36,Subway
"6"" Turkey Italiano Melt (with Provolone)",490,24,47,24,Subway
Footlong Turkey Italiano Melt (with Provolone),980,48,94,48,Subway
Kids Mini Sub Veggie Delite,150,2,29,6,Subway
"6"" Veggie Delite",230,3,44,8,Subway
Footlong Veggie Delite,460,6,88,16,Subway
"6"" Veggie Patty",390,7,56,23,Subway
Footlong Veggie Patty,780,14,112,46,Subway
Autumn Carved Turkey Salad,300,9,26,25,Subway
B.L.T. Salad,150,8,10,10,Subway
Big Hot Pastrami Melt Salad,400,29,12,23,Subway
Big Philly Cheesesteak Salad,330,16,17,32,Subway
Black Forest Ham Salad,110,3,11,12,Subway
Buffalo Chicken Salad (with Ranch dressing),360,26,13,20,Subway
Carved Turkey & Bacon w/ Cheese Salad,280,12,11,28,Subway
Carved Turkey Salad,150,4,8,19,Subway
Chicken & Bacon Ranch Melt Salad (includes Ranch dressing),510,38,14,30,Subway
Cold Cut Combo Salad,180,11,12,12,Subway
Double Chicken Salad,220,5,10,36,Subway
Italian B.M.T.® Salad,230,15,12,14,Subway
Italian Hero Salad,230,15,13,14,Subway
Meatball Marinara Salad,310,17,25,16,Subway
Oven Roasted Chicken Salad,140,3,10,19,Subway
Roast Beef Salad,140,4,10,18,Subway
Spicy Italian Salad,310,23,11,15,Subway
Steak & Cheese Salad,210,8,14,20,Subway
Subway Club Salad,140,4,11,17,Subway
Subway Melt® Salad,200,10,13,18,Subway
Sweet Onion Chicken Teriyaki Salad,200,3,24,20,Subway
Tuna Salad,310,24,10,15,Subway
Turkey Breast & Ham Salad,110,3,11,12,Subway
Turkey Breast Salad,110,2,11,12,Subway
Veggie Delite Salad,50,1,9,3,Subway
Chipotle Southwest Steak & Cheese Wrap,760,37,65,43,Subway
Rotisserie-Style Chicken Caesar Wrap,730,34,53,55,Subway
"Turkey, Bacon & Guacamole Wrap",810,42,62,43,Subway
Cheese & Veggies Pizza,740,25,100,36,Subway
Cheese Pizza,680,22,96,32,Subway
Pepperoni Pizza,790,32,96,38,Subway
Sausage Pizza,820,34,97,39,Subway
