Item,Calories,Total Fat,Carbohydrates (G),Protein,Establishment
Baconator,950,62,40,59,Wendy's
Dave’s Double,810,51,41,49,Wendy's
Dave’s Single,570,34,40,30,Wendy's
Dave’s Triple,1090,72,43,71,Wendy's
Double Stack,390,21,26,25,Wendy's
Jr. Bacon Cheeseburger,380,22,25,19,Wendy's
Jr. Cheeseburger,280,13,26,16,Wendy's
Jr. Cheeseburger Deluxe,340,19,27,16,Wendy's
Son of Baconator,630,39,37,34,Wendy's
3 Piece Chicken Tenders,330,16,22,24,Wendy's
4 Piece Chicken Nuggets,170,11,10,9,Wendy's
4 Piece Chicken Tenders,430,21,29,32,Wendy's
6 Picece Chicken Nuggets,250,16,14,13,Wendy's
6 Piece Chicken Tenders,650,32,43,48,Wendy's
10 Piece Chicken Nuggets,420,27,24,22,Wendy's
Crispy Chicken BLT,420,23,35,20,Wendy's
Crispy Chicken Sandwich,330,16,33,14,Wendy's
Grilled Asiago Ranch Club,530,23,36,43,Wendy's
Grilled Chicken Sandwich,370,10,38,34,Wendy's
Grilled Chicken Wrap,270,10,24,20,Wendy's
Homestyle Asiago Ranch Chicken Club,660,34,52,38,Wendy's
Homestyle Chicken Sandwich,510,22,51,28,Wendy's
S’Awesome Sauce,120,12,4,1,Wendy's
Spicy Asiago Ranch Club,670,32,55,38,Wendy's
Spicy Chicken Sandwich,510,20,54,29,Wendy's
Spicy Chicken Wrap,370,20,30,18,Wendy's
Artisan Egg Sandwich with Bacon,320,17,25,18,Wendy's
Artisan Egg Sandwich with Sausage,480,33,27,21,Wendy's
Bacon Breakfast Bowl,510,28,44,19,Wendy's
Biggie Breakfast Sandwich,610,40,37,27,Wendy's
Fresh-Baked Biscuit with Applewood Smoked Bacon,410,24,34,15,Wendy's
Fresh Baked Biscuit with Natural Sausage,590,41,36,20,Wendy's
Gravy and Sausage Bowl,450,22,50,12,Wendy's
Honey Butter Chicken Biscuit,500,26,48,19,Wendy's
Sausage and Egg Burrito,360,20,29,17,Wendy's
Sausage and Gravy Biscuit,490,29,49,8,Wendy's
Sausage Biscuit,480,33,35,12,Wendy's
Sausage Breakfast Bowl,640,42,46,21,Wendy's
"Seasoned Home-Style Potatoes, Large",360,13,57,5,Wendy's
"Seasoned Home-Style Potatoes, Medium",250,9,39,4,Wendy's
"Seasoned Home-Style Potatoes, Small",230,8,35,3,Wendy's
Two Sausage and Egg Burritos,720,41,59,34,Wendy's
Two Sausage Biscuits,960,65,70,23,Wendy's
